
# number of atoms and geometry (in a.u.)
    3
    O       0.000000000000       0.000000000000      -0.736439502472
    H      -1.445931510274       0.000000000000       0.368218806373
    H       1.445931510274       0.000000000000       0.368218806373

# number of quasi-relativistic states and their energies (in a.u.)
   12
    1     -75.721977214741
    2     -75.721977214741
    3     -75.636882249981
    4     -75.636882249981
    5     -75.457675023492
    6     -75.457675023492
    7     -75.190315358669
    8     -75.190315358668
    9     -75.181295094134
   10     -75.181295094134
   11     -75.125026321385
   12     -75.125026321385

# magnetic moment matrix elements '1/2 * (g_e * S + L)' (in a.u.; x,y,z order; (real,imag) format)
    3   10     ( -6.877057587322e-03 , -1.996870007587e-02 ) (  8.097600681801e-04 , -2.788747689006e-04 ) ( -9.078929839438e-13 ,  1.261905793526e-03 )
    3   11     ( -1.583151919323e-08 , -9.508494752321e-06 ) ( -1.946398772617e-06 ,  3.240738704894e-09 ) ( -3.376800675567e-15 ,  2.887002291027e-03 )
    3   12     (  3.219237192188e-14 ,  1.221447768133e-02 ) (  2.500316284939e-03 ,  3.351338711153e-14 ) ( -3.741918148528e-09 ,  2.247421555714e-06 )
    4    1     (  4.754951819199e-14 , -4.875438340827e-01 ) (  3.351157184963e-02 ,  5.704936692816e-13 ) ( -2.744991314865e-12 , -5.107681989730e-11 )
    4    2     (  3.092037192201e-11 , -5.465576967866e-10 ) (  3.357158420150e-11 ,  2.214972930183e-12 ) (  5.920835102291e-14 ,  4.511558401256e-02 )
    4    3     (  4.634057646477e-01 ,  5.970141477949e-14 ) (  5.274084031673e-14 ,  5.123282565168e-01 ) (  5.925331958042e-11 , -4.593138093511e-14 )
    4    4     (  5.512649941023e-11 , -6.310887241768e-30 ) (  2.167009488254e-13 ,  1.051869174712e-26 ) ( -4.984021193750e-01 ,  3.944304526105e-31 )
    4    5     ( -8.875978003811e-03 ,  4.304781094277e-13 ) (  5.289545136801e-15 ,  4.575732026857e-01 ) ( -2.969488236470e-12 , -4.488630008164e-12 )
    4    6     (  8.307145082653e-13 ,  6.330368527591e-15 ) ( -4.821693008389e-12 ,  1.180183724149e-11 ) ( -3.211986905071e-02 ,  3.184336558568e-14 )
    4    7     (  1.007683859824e-02 , -1.916477750487e-14 ) ( -1.153082528589e-14 , -2.335248099622e-04 ) ( -3.003402727710e-06 , -6.792556127871e-07 )
    4    8     (  1.380537076629e-04 , -3.122248964940e-05 ) ( -7.235628448834e-07 , -3.199315908216e-06 ) (  2.192249622496e-04 ,  4.799036280840e-15 )
    4    9     ( -6.877057587320e-03 ,  1.996870007584e-02 ) (  8.097600681732e-04 ,  2.788747688779e-04 ) ( -9.177849441200e-13 , -1.261905793486e-03 )
    4   10     ( -4.624383594997e-13 , -4.255353548201e-02 ) ( -1.725608259114e-03 , -4.605869633457e-14 ) ( -2.039360239196e-04 , -5.921627503440e-04 )
    4   11     ( -1.167407748895e-14 ,  1.221447768134e-02 ) ( -2.500316284938e-03 ,  3.212460575340e-14 ) (  3.741918108778e-09 ,  2.247421556112e-06 )
    4   12     ( -1.583151640460e-08 ,  9.508494750108e-06 ) ( -1.946398776804e-06 , -3.240738836741e-09 ) ( -2.083382237176e-15 , -2.887002291025e-03 )
    5    1     (  2.411716970340e-13 ,  4.046897473160e-12 ) (  6.855427487526e-12 , -4.271501686285e-12 ) (  2.388730569234e-17 , -4.749080435393e-01 )
    5    2     (  1.271903182139e-14 , -3.559703311148e-03 ) ( -6.696327909070e-03 ,  3.781122050417e-14 ) (  2.547913836309e-11 , -5.201398509757e-10 )
    5    3     (  8.407363905584e-13 ,  6.258662537290e-15 ) ( -4.821715995883e-12 ,  1.180139506419e-11 ) ( -3.211986905074e-02 ,  3.771974094450e-14 )
    5    4     ( -8.875978003811e-03 , -4.304781094277e-13 ) (  5.289545136801e-15 , -4.575732026857e-01 ) ( -2.969488236470e-12 ,  4.488630008164e-12 )
    5    5     (  3.371083286423e-11 , -8.077935669463e-28 ) ( -9.627601307245e-12 , -1.998505021088e-27 ) ( -4.902445920717e-01 ,  2.465190328816e-32 )
    5    6     (  5.004141360607e-01 , -1.222390573013e-14 ) ( -8.548806855315e-15 ,  4.876275954693e-01 ) (  3.304036048071e-11 , -9.607914170353e-12 )
    5    7     ( -6.473518809484e-06 , -1.464063399817e-06 ) ( -4.855093345175e-05 ,  2.146733425025e-04 ) ( -1.638948453577e-03 , -3.686333244657e-15 )
    5    8     (  4.725161414360e-04 ,  1.902778427393e-14 ) ( -3.200595384994e-14 , -1.566947150851e-02 ) ( -2.245375955525e-05 ,  5.078185670650e-06 )
    5    9     ( -1.112603182371e-13 , -5.554936976294e-04 ) (  5.256577028092e-03 , -1.448888146965e-14 ) (  1.812738720083e-03 , -5.263593529754e-03 )
    5   10     ( -8.977308480981e-05 , -2.606713387602e-04 ) (  2.466704797557e-03 , -8.495130318732e-04 ) (  4.416001515548e-14 ,  1.121677991858e-02 )
    5   11     (  6.876816117508e-10 ,  4.130207294680e-07 ) ( -1.208095941649e-06 ,  2.012401021997e-09 ) ( -5.488666369363e-16 ,  4.564111010483e-02 )
    5   12     (  5.951874802239e-16 , -5.305571081636e-04 ) (  1.551903126571e-03 ,  1.057883710933e-15 ) ( -5.915625068031e-08 ,  3.552982312521e-05 )
    6    1     ( -3.819083025918e-14 ,  3.559703311168e-03 ) ( -6.696327909058e-03 ,  8.645498027541e-15 ) (  2.547945182904e-11 ,  5.201262928265e-10 )
    6    2     ( -2.416160094375e-13 ,  4.060916421952e-12 ) ( -6.863359285714e-12 , -4.271301243399e-12 ) ( -4.527082942908e-16 , -4.749080435393e-01 )
    6    3     (  8.875978003825e-03 , -4.557395940074e-13 ) ( -3.542430826280e-15 , -4.575732026857e-01 ) (  2.959377840126e-12 ,  4.488612611346e-12 )
