
# number of atoms and geometry (in a.u.)
    3
    O       0.000000000000       0.000000000000      -0.736439502472
    H      -1.445931510274       0.000000000000       0.368218806373
    H       1.445931510274       0.000000000000       0.368218806373

# number of quasi-relativistic states and their energies (in a.u.)
   12
    1     -75.721977214741
    2     -75.721977214741
    3     -75.636882249981
    4     -75.636882249981
    5     -75.457675023492
    6     -75.457675023492
    7     -75.190315358669
    8     -75.190315358668
    9     -75.181295094134
   10     -75.181295094134
   11     -75.125026321385
   12     -75.125026321385

# magnetic moment matrix elements '1/2 * (g_e * S + L)' (in a.u.; x,y,z order; (real,imag) format)
# FC contribution '4/3 * pi * P * OPERATOR'
    1    1     (  1.218208230202e-07 ,  0.000000000000e+00 ) (  7.074861598387e-09 , -3.853646440492e-18 ) (  5.661000716333e+01 ,  1.009741958683e-28 )
    1    2     ( -5.736268824974e+01 , -1.699223149659e-12 ) (  3.717730461939e-12 , -5.661005538958e+01 ) (  1.202250768426e-07 ,  7.074843701430e-09 )
    1    3     ( -1.685836964317e-09 ,  8.429209833547e-09 ) ( -1.196201861422e-08 , -1.960655784436e-09 ) ( -1.486253967354e-11 , -1.195586236349e+01 )
    1    4     ( -1.308357014863e-11 , -7.533853558784e+00 ) ( -1.195593060206e+01 ,  1.002043322823e-11 ) (  1.960654925556e-09 , -1.337304992578e-08 )
    1    5     ( -2.410194289580e-11 ,  7.984850162256e-10 ) (  1.060865506382e-09 ,  7.118972964325e-11 ) ( -5.201443290142e-11 ,  9.014048400317e-01 )
    1    6     (  4.021901621922e-11 ,  6.222655496223e-01 ) ( -8.966749427128e-01 ,  4.092028522496e-11 ) (  7.140296604954e-11 , -8.603987034989e-10 )
    1    7     ( -1.038942665294e-01 ,  4.593800735442e-01 ) ( -5.087238239671e-01 , -1.150539558541e-01 ) (  2.372974130233e-10 ,  3.713285218810e+01 )
    1    8     (  1.747584487569e-10 , -3.353114229577e+01 ) (  3.713285481508e+01 ,  1.687684210149e-13 ) (  1.150539477382e-01 ,  5.087238666825e-01 )
    1    9     ( -1.288215232538e+02 , -2.616644083693e-08 ) ( -2.557064564028e-08 , -1.280471809155e+02 ) ( -6.008750175462e+01 , -2.069364600606e+01 )
    1   10     ( -6.045087265588e+01 ,  2.081878800009e+01 ) ( -2.069364688958e+01 , -6.008750459187e+01 ) (  1.280471755762e+02 , -1.841665076865e-08 )
    1   11     ( -8.274393603434e-02 ,  1.377606402632e-04 ) ( -1.377284803569e-04 , -8.271629602849e-02 ) ( -1.062563398441e+02 ,  5.352449905629e-12 )
    1   12     (  1.062915534104e+02 , -9.569688666749e-11 ) (  8.476174627386e-11 ,  1.062563373640e+02 ) ( -8.271652360231e-02 , -1.377284796164e-04 )
    2    1     ( -5.736268824974e+01 ,  1.699223149659e-12 ) (  3.717730461939e-12 ,  5.661005538958e+01 ) (  1.202250768426e-07 , -7.074843701430e-09 )
    2    2     ( -1.218186868500e-07 ,  4.135903062765e-25 ) ( -7.074836447982e-09 , -3.853664999531e-18 ) ( -5.661000716332e+01 , -4.038967834732e-28 )
    2    3     (  1.787790839871e-11 , -7.533853558799e+00 ) (  1.195593060206e+01 ,  1.109786325255e-11 ) ( -1.961293207894e-09 , -1.337188660940e-08 )
    2    4     ( -1.686484641652e-09 , -8.428128361908e-09 ) ( -1.196085538471e-08 ,  1.961298557263e-09 ) ( -1.594029566117e-11 ,  1.195586236351e+01 )
    2    5     (  5.163826401450e-11 , -6.222655496379e-01 ) ( -8.966749427298e-01 , -5.235962563169e-11 ) (  7.141549904498e-11 ,  8.477177106196e-10 )
    2    6     (  2.404470700236e-11 ,  8.111275054069e-10 ) ( -1.048178150394e-09 ,  7.119980005461e-11 ) (  4.059450011069e-11 ,  9.014048400148e-01 )
    2    7     ( -1.660771926420e-10 , -3.353114229557e+01 ) ( -3.713285481486e+01 , -1.245350454774e-11 ) ( -1.150539477094e-01 ,  5.087238669312e-01 )
    2    8     ( -1.038942665400e-01 , -4.593800732937e-01 ) ( -5.087238237180e-01 ,  1.150539558644e-01 ) (  2.501718973336e-10 , -3.713285218830e+01 )
    2    9     (  6.045087265588e+01 ,  2.081878800008e+01 ) (  2.069364688957e+01 , -6.008750459187e+01 ) ( -1.280471755762e+02 , -1.836044107626e-08 )
    2   10     ( -1.288215232538e+02 ,  2.622308947100e-08 ) ( -2.551252413445e-08 ,  1.280471809155e+02 ) ( -6.008750175462e+01 ,  2.069364600608e+01 )
    2   11     (  1.062915534104e+02 ,  4.623175039655e-12 ) ( -6.264237893489e-12 , -1.062563373640e+02 ) ( -8.271652360453e-02 ,  1.377284835591e-04 )
    2   12     (  8.274393603071e-02 ,  1.377606363606e-04 ) (  1.377284763878e-04 , -8.271629602627e-02 ) (  1.062563398441e+02 , -8.567355890302e-11 )
    3    1     ( -1.685836964317e-09 , -8.429209940759e-09 ) ( -1.196201871053e-08 ,  1.960655784436e-09 ) ( -1.486253967354e-11 ,  1.195586236349e+01 )
    3    2     (  1.787790839871e-11 ,  7.533853558799e+00 ) (  1.195593060206e+01 , -1.109786325255e-11 ) ( -1.961293207894e-09 ,  1.337188671661e-08 )
    3    3     (  3.033512319224e-08 ,  6.462348535571e-26 ) (  1.339973250666e-10 ,  1.439856769460e-16 ) ( -2.540516810535e+02 , -1.363151644222e-27 )
    3    4     ( -2.542255471243e+02 , -4.649522038520e-13 ) ( -9.325798505931e-14 ,  2.540515844982e+02 ) ( -3.031594160448e-08 ,  1.340476123978e-10 )
    3    5     (  2.946748914024e-09 , -1.141994167816e-11 ) ( -1.320441370729e-11 , -3.374019339711e-09 ) (  3.540576277628e+00 ,  2.167327303388e-12 )
    3    6     ( -3.599127532853e+00 ,  4.407521813249e-12 ) (  1.584474754450e-12 ,  3.547268926144e+00 ) (  2.951490138095e-09 ,  1.337820487464e-11 )
    3    7     ( -3.307132212954e-01 , -7.479473322469e-02 ) ( -6.634865109897e-02 ,  2.933679276906e-01 ) (  2.141356322134e+01 , -5.899904449742e-12 )
    3    8     (  2.413947303826e+01 ,  1.477818678823e-11 ) ( -4.355880787604e-12 , -2.141355950611e+01 ) (  2.933679811973e-01 , -6.634866260869e-02 )
    3    9     ( -3.632242265342e-10 , -2.146764906523e-01 ) (  9.702750658496e+00 ,  3.004934171116e-10 ) (  1.568055888205e+00 , -4.553115532315e+00 )
    3   10     ( -3.469376954189e-02 , -1.007392312438e-01 ) (  4.553119163403e+00 , -1.568057138331e+00 ) (  4.688469630787e-10 ,  9.702742923475e+00 )
    3   11     ( -5.318026868045e-06 , -3.193908583353e-03 ) (  3.996952798964e-03 , -6.654663177439e-06 ) (  6.010511816849e-12 , -5.134433213038e+00 )
    3   12     ( -2.767510794414e-12 ,  4.102849940375e+00 ) ( -5.134429703478e+00 , -8.456057467646e-13 ) (  6.654667583065e-06 , -3.996956050143e-03 )
    4    1     ( -1.308357014863e-11 ,  7.533853558784e+00 ) ( -1.195593060206e+01 , -1.002043322823e-11 ) (  1.960654925556e-09 ,  1.337305003299e-08 )
    4    2     ( -1.686484641652e-09 ,  8.428128469120e-09 ) ( -1.196085548102e-08 , -1.961298557263e-09 ) ( -1.594029566117e-11 , -1.195586236351e+01 )
    4    3     ( -2.542255471243e+02 ,  4.649522038520e-13 ) ( -9.325798505931e-14 , -2.540515844982e+02 ) ( -3.031594160448e-08 , -1.340476123978e-10 )
    4    4     ( -3.033521010202e-08 ,  5.169878828456e-26 ) ( -1.340941589487e-10 ,  1.439856778586e-16 ) (  2.540516810535e+02 , -1.716561329761e-27 )
    4    5     (  3.599127532868e+00 ,  5.971552173412e-12 ) ( -2.233371469932e-12 ,  3.547268926157e+00 ) ( -2.951198245814e-09 ,  1.307467733666e-11 )
    4    6     (  2.946072123638e-09 ,  1.172202229903e-11 ) ( -1.350971642397e-11 ,  3.374311717239e-09 ) (  3.540576277615e+00 , -1.522939024286e-12 )
    4    7     (  2.413947303825e+01 , -1.679072271210e-11 ) ( -1.940548233709e-12 ,  2.141355950611e+01 ) (  2.933679811773e-01 ,  6.634866261116e-02 )
    4    8     (  3.307132212959e-01 , -7.479473322370e-02 ) (  6.634865109784e-02 ,  2.933679277104e-01 ) ( -2.141356322133e+01 , -3.465898378125e-12 )
    4    9     ( -3.469376954563e-02 ,  1.007392312276e-01 ) (  4.553119163426e+00 ,  1.568057138328e+00 ) (  4.705590620842e-10 , -9.702742923544e+00 )
    4   10     (  3.555642887324e-10 , -2.146764907225e-01 ) ( -9.702750658438e+00 ,  2.989249963921e-10 ) ( -1.568055888210e+00 , -4.553115532297e+00 )
    4   11     (  5.908364405119e-12 ,  4.102849940379e+00 ) (  5.134429703489e+00 , -4.431834057061e-12 ) ( -6.654667734472e-06 , -3.996956055643e-03 )
    4   12     ( -5.318026717008e-06 ,  3.193908588627e-03 ) (  3.996952793475e-03 ,  6.654663026316e-06 ) (  9.596728966981e-12 ,  5.134433213042e+00 )
    5    1     ( -2.410194289580e-11 , -7.984853927548e-10 ) (  1.060865885766e-09 , -7.118972964325e-11 ) ( -5.201443290142e-11 , -9.014048400317e-01 )
    5    2     (  5.163826401450e-11 ,  6.222655496379e-01 ) ( -8.966749427298e-01 ,  5.235962563169e-11 ) (  7.141549904498e-11 , -8.477173340905e-10 )
    5    3     (  2.946758896288e-09 ,  1.141994167816e-11 ) ( -1.320441370729e-11 ,  3.374029317936e-09 ) (  3.540576277628e+00 , -2.167327303388e-12 )
    5    4     (  3.599127532868e+00 , -5.971552173412e-12 ) ( -2.233371469932e-12 , -3.547268926157e+00 ) ( -2.951208228078e-09 , -1.307467733666e-11 )
    5    5     ( -7.317476679619e-11 ,  8.077935669463e-28 ) ( -4.269524821365e-12 , -1.399812505364e-16 ) ( -2.723183789153e-01 ,  1.312664546288e-27 )
    5    6     (  2.920830239122e-01 , -1.283429337353e-12 ) (  1.073331842152e-12 ,  1.915768434245e-01 ) ( -7.411946691768e-11 , -4.857851987900e-12 )
    5    7     (  1.067970795567e-02 ,  2.415343347689e-03 ) ( -1.639829818910e-05 ,  7.250597355097e-05 ) (  5.549961106929e-03 , -2.020953121643e-11 )
    5    8     ( -7.795350485839e-01 ,  1.836133526818e-11 ) ( -1.858480129479e-11 , -5.292440945516e-03 ) (  7.603603476802e-05 , -1.719620999779e-05 )
    5    9     (  2.181717455537e-11 ,  1.343156543010e+00 ) ( -1.506162517590e+00 ,  2.190461728755e-11 ) ( -2.434968936480e-01 ,  7.070344226462e-01 )
    5   10     (  2.170669203030e-01 ,  6.302905234222e-01 ) ( -7.067828144878e-01 ,  2.434102420305e-01 ) ( -3.965594517135e-11 , -1.506698696595e+00 )
    5   11     (  1.420448635951e-06 ,  8.531256820843e-04 ) ( -8.641728410394e-04 ,  1.438830936026e-06 ) (  2.643169250806e-12 ,  1.109861073633e+00 )
    5   12     ( -3.618807909835e-12 , -1.095913221433e+00 ) (  1.110104335545e+00 , -3.671201227137e-12 ) ( -1.438515594480e-06 ,  8.639835324722e-04 )
    6    1     (  4.021901621922e-11 , -6.222655496223e-01 ) ( -8.966749427128e-01 , -4.092028522496e-11 ) (  7.140296604954e-11 ,  8.603983269698e-10 )
    6    2     (  2.404470700236e-11 , -8.111278819361e-10 ) ( -1.048178529777e-09 , -7.119980005461e-11 ) (  4.059450011069e-11 , -9.014048400148e-01 )
    6    3     ( -3.599127532853e+00 , -4.407521813249e-12 ) (  1.584474754450e-12 , -3.547268926144e+00 ) (  2.951500120359e-09 , -1.337820487464e-11 )
    6    4     (  2.946082105902e-09 , -1.172202229903e-11 ) ( -1.350971642397e-11 , -3.374321695463e-09 ) (  3.540576277615e+00 ,  1.522939024286e-12 )
    6    5     (  2.920830239122e-01 ,  1.283429337353e-12 ) (  1.073331842152e-12 , -1.915768434245e-01 ) ( -7.411946691768e-11 ,  4.857851987900e-12 )
    6    6     (  7.288382099145e-11 ,  0.000000000000e+00 ) (  4.258729102303e-12 , -1.399812505225e-16 ) (  2.723183789152e-01 ,  1.312664546288e-27 )
    6    7     (  7.795350485483e-01 ,  4.412500623312e-11 ) ( -7.190008664504e-12 , -5.292440971720e-03 ) ( -7.603603974642e-05 , -1.719620512940e-05 )
    6    8     (  1.067970795461e-02 , -2.415343343048e-03 ) ( -1.639829449301e-05 , -7.250596934288e-05 ) (  5.549961137630e-03 , -5.420854613465e-12 )
    6    9     ( -2.170669203008e-01 ,  6.302905234158e-01 ) (  7.067828144864e-01 ,  2.434102420315e-01 ) (  4.616532608069e-11 , -1.506698696584e+00 )
    6   10     (  1.389206265399e-11 , -1.343156543012e+00 ) ( -1.506162517570e+00 , -2.753458812429e-11 ) ( -2.434968936441e-01 , -7.070344226332e-01 )
    6   11     (  7.619991152908e-13 ,  1.095913221422e+00 ) (  1.110104335534e+00 , -8.439686149873e-13 ) ( -1.438515603090e-06 , -8.639835385001e-04 )
    6   12     ( -1.420448646604e-06 ,  8.531256880472e-04 ) (  8.641728349984e-04 ,  1.438830851486e-06 ) (  1.872655090767e-12 ,  1.109861073622e+00 )
    7    1     ( -1.038942665294e-01 , -4.593800735442e-01 ) ( -5.087238239671e-01 ,  1.150539558541e-01 ) (  2.372974129999e-10 , -3.713285218810e+01 )
    7    2     ( -1.660771926655e-10 ,  3.353114229557e+01 ) ( -3.713285481486e+01 ,  1.245350452301e-11 ) ( -1.150539477094e-01 , -5.087238669312e-01 )
    7    3     ( -3.307132212954e-01 ,  7.479473322469e-02 ) ( -6.634865109897e-02 , -2.933679276906e-01 ) (  2.141356322134e+01 ,  5.899904500977e-12 )
    7    4     (  2.413947303825e+01 ,  1.679072276334e-11 ) ( -1.940548250611e-12 , -2.141355950611e+01 ) (  2.933679811773e-01 , -6.634866261116e-02 )
    7    5     (  1.067970795567e-02 , -2.415343347689e-03 ) ( -1.639829818910e-05 , -7.250597355020e-05 ) (  5.549961106928e-03 ,  2.020953357762e-11 )
    7    6     (  7.795350485483e-01 , -4.412500859432e-11 ) ( -7.190006302825e-12 ,  5.292440971720e-03 ) ( -7.603603974718e-05 ,  1.719620512940e-05 )
    7    7     (  9.058520130404e+00 , -1.110223024625e-16 ) (  1.999121860904e+00 , -2.805963608612e-16 ) ( -3.225375978655e+02 ,  1.734723475977e-18 )
    7    8     ( -3.305416086373e+02 , -2.806729039547e-02 ) (  2.738817149717e-02 ,  3.226586975641e+02 ) ( -8.839339304572e+00 ,  1.999121861776e+00 )
    7    9     (  4.404727171121e-02 , -5.835159757701e+01 ) ( -8.595565973997e+01 ,  6.578999463879e-02 ) ( -1.425637549682e+01 ,  3.943125315104e+01 )
    7   10     ( -9.185722365336e+00 , -2.639974516243e+01 ) ( -4.180289036367e+01 ,  1.425637554588e+01 ) ( -3.174891977039e-01 , -8.706857541635e+01 )
    7   11     (  6.245523506508e-02 ,  2.917221530942e-01 ) (  2.419244327340e-01 , -5.798606164367e-02 ) ( -4.549126370177e-05 ,  1.872222516865e+01 )
    7   12     (  4.824087944043e-05 , -2.014834353617e+01 ) (  1.872262438265e+01 , -4.482630704449e-05 ) (  5.798606206246e-02 ,  2.710737879664e-01 )
    8    1     (  1.747584487803e-10 ,  3.353114229577e+01 ) (  3.713285481508e+01 , -1.687684457424e-13 ) (  1.150539477382e-01 , -5.087238666825e-01 )
    8    2     ( -1.038942665400e-01 ,  4.593800732937e-01 ) ( -5.087238237180e-01 , -1.150539558644e-01 ) (  2.501718973102e-10 ,  3.713285218830e+01 )
    8    3     (  2.413947303826e+01 , -1.477818683947e-11 ) ( -4.355880804506e-12 ,  2.141355950611e+01 ) (  2.933679811973e-01 ,  6.634866260869e-02 )
    8    4     (  3.307132212959e-01 ,  7.479473322370e-02 ) (  6.634865109784e-02 , -2.933679277104e-01 ) ( -2.141356322133e+01 ,  3.465898429360e-12 )
    8    5     ( -7.795350485839e-01 , -1.836133762938e-11 ) ( -1.858480365647e-11 ,  5.292440945515e-03 ) (  7.603603476878e-05 ,  1.719620999779e-05 )
    8    6     (  1.067970795461e-02 ,  2.415343343048e-03 ) ( -1.639829449301e-05 ,  7.250596934211e-05 ) (  5.549961137630e-03 ,  5.420852252267e-12 )
    8    7     ( -3.305416086373e+02 ,  2.806729039547e-02 ) (  2.738817149717e-02 , -3.226586975641e+02 ) ( -8.839339304572e+00 , -1.999121861776e+00 )
    8    8     ( -9.058520130627e+00 ,  0.000000000000e+00 ) ( -1.999121860877e+00 ,  1.186661844831e-16 ) (  3.225375978654e+02 ,  1.734723475977e-18 )
    8    9     ( -9.185722365295e+00 ,  2.639974516257e+01 ) ( -4.180289036396e+01 , -1.425637554585e+01 ) ( -3.174891976982e-01 ,  8.706857541711e+01 )
    8   10     ( -4.404727171065e-02 , -5.835159757628e+01 ) (  8.595565973937e+01 ,  6.578999463211e-02 ) (  1.425637549687e+01 ,  3.943125315083e+01 )
    8   11     ( -4.824085810247e-05 , -2.014834353621e+01 ) ( -1.872262438278e+01 , -4.482631641282e-05 ) ( -5.798606206995e-02 ,  2.710737878330e-01 )
    8   12     (  6.245523507278e-02 , -2.917221529606e-01 ) (  2.419244325992e-01 ,  5.798606165180e-02 ) ( -4.549125433271e-05 , -1.872222516869e+01 )
    9    1     ( -1.288215232538e+02 ,  2.616644083656e-08 ) ( -2.557064564050e-08 ,  1.280471809155e+02 ) ( -6.008750175462e+01 ,  2.069364600606e+01 )
    9    2     (  6.045087265588e+01 , -2.081878800008e+01 ) (  2.069364688957e+01 ,  6.008750459187e+01 ) ( -1.280471755762e+02 ,  1.836044107662e-08 )
    9    3     ( -3.632242250903e-10 ,  2.146764906523e-01 ) (  9.702750658496e+00 , -3.004934148269e-10 ) (  1.568055888205e+00 ,  4.553115532315e+00 )
    9    4     ( -3.469376954563e-02 , -1.007392312276e-01 ) (  4.553119163426e+00 , -1.568057138328e+00 ) (  4.705590606404e-10 ,  9.702742923544e+00 )
    9    5     (  2.181714538873e-11 , -1.343156543010e+00 ) ( -1.506162517590e+00 , -2.190458817321e-11 ) ( -2.434968936480e-01 , -7.070344226462e-01 )
    9    6     ( -2.170669203008e-01 , -6.302905234158e-01 ) (  7.067828144864e-01 , -2.434102420315e-01 ) (  4.616529691406e-11 ,  1.506698696584e+00 )
    9    7     (  4.404727171121e-02 ,  5.835159757701e+01 ) ( -8.595565973997e+01 , -6.578999463879e-02 ) ( -1.425637549682e+01 , -3.943125315104e+01 )
    9    8     ( -9.185722365295e+00 , -2.639974516257e+01 ) ( -4.180289036396e+01 ,  1.425637554585e+01 ) ( -3.174891976982e-01 , -8.706857541711e+01 )
    9    9     (  6.300377286472e+01 ,  8.881784197001e-16 ) (  1.136495623160e+01 ,  1.138011499281e-15 ) ( -2.650061129591e+01 , -8.881784197001e-16 )
    9   10     ( -5.410159655460e+01 , -1.018201118452e+01 ) (  5.333126843899e+00 ,  4.198624774694e+01 ) ( -3.300007241810e+01 ,  1.136495603107e+01 )
    9   11     (  7.186301630548e+01 , -9.081243489577e-03 ) (  9.121294208331e-03 , -7.212726504985e+01 ) (  3.380268083629e+01 , -1.166061837590e+01 )
    9   12     ( -3.365425690874e+01 ,  1.160960407695e+01 ) ( -1.166061833048e+01 , -3.391501823573e+01 ) (  7.217998091497e+01 , -9.033523371908e-03 )
   10    1     ( -6.045087265588e+01 , -2.081878800009e+01 ) ( -2.069364688958e+01 ,  6.008750459187e+01 ) (  1.280471755762e+02 ,  1.841665076901e-08 )
   10    2     ( -1.288215232538e+02 , -2.622308947064e-08 ) ( -2.551252413468e-08 , -1.280471809155e+02 ) ( -6.008750175462e+01 , -2.069364600608e+01 )
   10    3     ( -3.469376954189e-02 ,  1.007392312438e-01 ) (  4.553119163403e+00 ,  1.568057138331e+00 ) (  4.688469616349e-10 , -9.702742923475e+00 )
   10    4     (  3.555642872886e-10 ,  2.146764907225e-01 ) ( -9.702750658438e+00 , -2.989249941075e-10 ) ( -1.568055888210e+00 ,  4.553115532297e+00 )
   10    5     (  2.170669203030e-01 , -6.302905234222e-01 ) ( -7.067828144878e-01 , -2.434102420305e-01 ) ( -3.965591600472e-11 ,  1.506698696595e+00 )
   10    6     (  1.389203348736e-11 ,  1.343156543012e+00 ) ( -1.506162517570e+00 ,  2.753455900995e-11 ) ( -2.434968936441e-01 ,  7.070344226332e-01 )
   10    7     ( -9.185722365336e+00 ,  2.639974516243e+01 ) ( -4.180289036367e+01 , -1.425637554588e+01 ) ( -3.174891977039e-01 ,  8.706857541635e+01 )
   10    8     ( -4.404727171065e-02 ,  5.835159757628e+01 ) (  8.595565973937e+01 , -6.578999463211e-02 ) (  1.425637549687e+01 , -3.943125315083e+01 )
   10    9     ( -5.410159655460e+01 ,  1.018201118452e+01 ) (  5.333126843899e+00 , -4.198624774694e+01 ) ( -3.300007241810e+01 , -1.136495603107e+01 )
   10   10     ( -6.300377286444e+01 , -8.881784197001e-16 ) ( -1.136495623162e+01 ,  1.472376951447e-15 ) (  2.650061129614e+01 ,  0.000000000000e+00 )
   10   11     (  3.365425690875e+01 ,  1.160960407701e+01 ) (  1.166061833054e+01 , -3.391501823573e+01 ) ( -7.217998091493e+01 , -9.033523498196e-03 )
   10   12     (  7.186301630544e+01 ,  9.081243612867e-03 ) (  9.121294080722e-03 ,  7.212726504983e+01 ) (  3.380268083629e+01 ,  1.166061837596e+01 )
   11    1     ( -8.274393603434e-02 , -1.377606402632e-04 ) ( -1.377284803569e-04 ,  8.271629602849e-02 ) ( -1.062563398441e+02 , -5.352449905630e-12 )
   11    2     (  1.062915534104e+02 , -4.623175039656e-12 ) ( -6.264237893489e-12 ,  1.062563373640e+02 ) ( -8.271652360453e-02 , -1.377284835591e-04 )
   11    3     ( -5.318026868045e-06 ,  3.193908583353e-03 ) (  3.996952798964e-03 ,  6.654663177439e-06 ) (  6.010511816855e-12 ,  5.134433213038e+00 )
   11    4     (  5.908364405125e-12 , -4.102849940379e+00 ) (  5.134429703489e+00 ,  4.431834057054e-12 ) ( -6.654667734472e-06 ,  3.996956055644e-03 )
   11    5     (  1.420448635951e-06 , -8.531256820843e-04 ) ( -8.641728410393e-04 , -1.438830936026e-06 ) (  2.643169250775e-12 , -1.109861073633e+00 )
   11    6     (  7.619991153221e-13 , -1.095913221422e+00 ) (  1.110104335534e+00 ,  8.439686150184e-13 ) ( -1.438515603090e-06 ,  8.639835385002e-04 )
   11    7     (  6.245523506508e-02 , -2.917221530942e-01 ) (  2.419244327340e-01 ,  5.798606164367e-02 ) ( -4.549126370177e-05 , -1.872222516865e+01 )
   11    8     ( -4.824085810247e-05 ,  2.014834353621e+01 ) ( -1.872262438278e+01 ,  4.482631641282e-05 ) ( -5.798606206995e-02 , -2.710737878330e-01 )
   11    9     (  7.186301630548e+01 ,  9.081243489577e-03 ) (  9.121294208331e-03 ,  7.212726504985e+01 ) (  3.380268083629e+01 ,  1.166061837590e+01 )
   11   10     (  3.365425690875e+01 , -1.160960407701e+01 ) (  1.166061833054e+01 ,  3.391501823573e+01 ) ( -7.217998091493e+01 ,  9.033523498196e-03 )
   11   11     (  4.804579567517e-01 ,  0.000000000000e+00 ) (  7.999415144322e-04 , -7.055660331547e-18 ) (  3.085889396442e+02 , -5.293955920339e-23 )
   11   12     ( -3.085945860925e+02 ,  6.227850634447e-07 ) (  6.226727454760e-07 , -3.085893137827e+02 ) (  4.804491656694e-01 ,  7.999415118667e-04 )
   12    1     (  1.062915534104e+02 ,  9.569688666749e-11 ) (  8.476174627386e-11 , -1.062563373640e+02 ) ( -8.271652360231e-02 ,  1.377284796164e-04 )
   12    2     (  8.274393603071e-02 , -1.377606363606e-04 ) (  1.377284763878e-04 ,  8.271629602627e-02 ) (  1.062563398441e+02 ,  8.567355890302e-11 )
   12    3     ( -2.767510794421e-12 , -4.102849940375e+00 ) ( -5.134429703478e+00 ,  8.456057467574e-13 ) (  6.654667583065e-06 ,  3.996956050143e-03 )
   12    4     ( -5.318026717008e-06 , -3.193908588627e-03 ) (  3.996952793475e-03 , -6.654663026316e-06 ) (  9.596728966988e-12 , -5.134433213042e+00 )
   12    5     ( -3.618807909803e-12 ,  1.095913221433e+00 ) (  1.110104335545e+00 ,  3.671201227106e-12 ) ( -1.438515594480e-06 , -8.639835324722e-04 )
   12    6     ( -1.420448646604e-06 , -8.531256880471e-04 ) (  8.641728349984e-04 , -1.438830851486e-06 ) (  1.872655090798e-12 , -1.109861073622e+00 )
   12    7     (  4.824087944043e-05 ,  2.014834353617e+01 ) (  1.872262438265e+01 ,  4.482630704449e-05 ) (  5.798606206246e-02 , -2.710737879664e-01 )
   12    8     (  6.245523507278e-02 ,  2.917221529606e-01 ) (  2.419244325992e-01 , -5.798606165180e-02 ) ( -4.549125433271e-05 ,  1.872222516869e+01 )
   12    9     ( -3.365425690874e+01 , -1.160960407695e+01 ) ( -1.166061833048e+01 ,  3.391501823573e+01 ) (  7.217998091497e+01 ,  9.033523371908e-03 )
   12   10     (  7.186301630544e+01 , -9.081243612867e-03 ) (  9.121294080722e-03 , -7.212726504983e+01 ) (  3.380268083629e+01 , -1.166061837596e+01 )
   12   11     ( -3.085945860925e+02 , -6.227850634447e-07 ) (  6.226727454760e-07 ,  3.085893137827e+02 ) (  4.804491656694e-01 , -7.999415118667e-04 )
   12   12     ( -4.804579567484e-01 ,  0.000000000000e+00 ) ( -7.999415101198e-04 , -6.553066667431e-18 ) ( -3.085889396442e+02 ,  0.000000000000e+00 )
# SD contribution '1/2 * P * OPERATOR ('+ 1/2 * FC' for diagonal terms)'
    1    1     ( -1.477816296498e-07 , -8.271806125530e-25 ) (  1.616691056853e-08 ,  7.992384002469e-18 ) ( -7.220279422081e+01 , -8.077935669463e-28 )
    1    2     (  6.963297829145e+01 , -2.651700630394e-10 ) ( -2.641508369304e-10 , -1.415350682143e+02 ) ( -1.533554550067e-07 , -7.379061919838e-09 )
    1    3     (  2.795550096338e-11 , -1.941606058138e-09 ) ( -1.049377950842e-07 , -4.740734564678e-09 ) (  1.199442899449e-10 ,  1.004439203823e+02 )
    1    4     ( -1.237854201056e-10 ,  1.669557405111e+00 ) ( -1.046535895747e+02 , -3.399864656676e-12 ) ( -4.552219378412e-09 ,  1.126001561934e-07 )
    1    5     (  6.121807182164e-09 , -1.026798014114e-07 ) (  1.024639714199e-07 ,  5.342556164907e-09 ) (  5.438055571549e-13 ,  1.370933634976e+00 )
    1    6     ( -2.162804848728e-10 , -9.375116780741e+01 ) ( -9.958731829057e+01 ,  2.121659130965e-10 ) (  8.653675712693e-10 , -1.595155085223e-09 )
    1    7     ( -7.621563748353e-03 ,  3.369959106666e-02 ) (  6.364335292422e-01 ,  1.439370320772e-01 ) (  2.217416579793e-10 ,  4.407171828384e+01 )
    1    8     ( -4.975718248070e-11 , -2.459805975902e+00 ) ( -4.645466327465e+01 ,  1.300945344896e-10 ) (  1.365536178659e-01 ,  6.037870401675e-01 )
    1    9     ( -9.506264403396e+00 , -2.227626473079e-09 ) ( -4.912855483101e-09 , -2.578918116477e+01 ) (  1.657174420235e+01 ,  5.707173676424e+00 )
    1   10     ( -4.460915878600e+00 ,  1.536303082507e+00 ) ( -4.167777883746e+00 , -1.210184816778e+01 ) ( -3.531458252894e+01 ,  5.619815033038e-09 )
    1   11     ( -8.087260368172e-03 ,  1.346450120020e-05 ) ( -3.589432257981e-05 , -2.155754428472e-02 ) (  3.809079066920e+01 , -8.668467672125e-13 )
    1   12     (  1.038876361800e+01 , -1.134695342572e-11 ) (  6.367057573266e-12 ,  2.769255632846e+01 ) (  2.965223587295e-02 ,  4.937241548003e-05 )
    2    1     (  6.963297829145e+01 ,  2.651700630394e-10 ) ( -2.641508369304e-10 ,  1.415350682143e+02 ) ( -1.533554550067e-07 ,  7.379061919838e-09 )
    2    2     (  1.477792463299e-07 , -8.271806125530e-25 ) ( -1.616980313505e-08 ,  7.992357109203e-18 ) (  7.220279422080e+01 ,  5.654554968624e-27 )
